,search_log_id,total_price_final,rooms_total_price,upsell_total_price,vouchers_total_price,loyalty_discount_total,redeemed_loyalty_points_total
0,76659,510.0,510.0,0.0,0,0.0,0.0
1,76669,259.3,302.0,0.0,0,30.2,12.5
2,76674,140288.0,155875.56,0.0,0,15587.56,0.0
3,76703,140148.0,140148.0,0.0,0,0.0,0.0
4,76733,104633.0,123168.0,0.0,0,13535.0,5000.0
5,76755,137591.5,137591.5,0.0,0,0.0,0.0
6,76769,62593.0,62593.0,0.0,0,0.0,0.0
7,76810,216618.0,216618.0,0.0,0,0.0,0.0
8,76849,169987.0,163037.0,6950.0,0,0.0,0.0
9,76932,244455.0,271616.67,0.0,0,27161.67,0.0
10,76957,257732.0,295168.0,0.0,0,32436.0,5000.0
11,76962,119952.0,119952.0,0.0,0,0.0,0.0
12,76997,112914.0,112914.0,0.0,0,0.0,0.0
13,77115,160834.0,178704.44,0.0,0,17870.44,0.0
14,77209,220320.0,220320.0,0.0,0,0.0,0.0
15,77224,143583.0,166926.56,0.0,0,18343.56,5000.0
16,77272,269590.0,305100.0,0.0,0,30510.0,5000.0
17,77278,107363.0,124847.78,0.0,0,12484.78,5000.0
18,77323,131819.0,153710.22,0.0,0,16891.22,5000.0
19,77317,403600.0,445122.22,2990.0,0,44512.22,0.0
20,77328,342598.0,380664.44,0.0,0,38066.44,0.0
21,77469,366470.0,431424.4,0.0,0,43142.4,21812.0
22,77492,136598.0,151775.56,0.0,0,15177.56,0.0
23,77498,974.88,1083.2,0.0,0,108.32,0.0
24,77538,422280.0,422280.0,0.0,0,0.0,0.0
25,77553,97409.0,109434.78,0.0,0,12025.78,0.0
26,77560,973.6,973.6,0.0,0,0.0,0.0
27,77577,95246.0,111384.44,0.0,0,11138.44,5000.0
28,77616,131598.0,151775.56,0.0,0,15177.56,5000.0
29,77854,129879.0,145913.4,0.0,0,16034.4,0.0
30,77980,293.5,340.0,0.0,0,34.0,12.5
31,77991,110160.0,129600.0,0.0,0,19440.0,0.0
32,77995,395.76,395.76,0.0,0,0.0,0.0
33,77993,127718.0,160392.56,0.0,0,17625.56,15049.0
34,78001,306.0,306.0,0.0,0,0.0,0.0
35,78004,306.0,306.0,0.0,0,0.0,0.0
36,78009,442.0,442.0,0.0,0,0.0,0.0
37,78030,358554.0,421828.23,0.0,0,63274.23,0.0
38,78048,475263.0,548045.56,0.0,0,54804.56,17978.0
39,78052,205200.0,205200.0,0.0,0,0.0,0.0
40,78078,155434.0,178704.44,0.0,0,17870.44,5400.0
41,78079,144310.0,160344.44,0.0,0,16034.44,0.0
42,78083,139310.0,160344.44,0.0,0,16034.44,5000.0
43,78082,98550.0,115055.56,0.0,0,11505.56,5000.0
44,78359,115200.0,115200.0,0.0,0,0.0,0.0
45,78545,168912.0,168912.0,0.0,0,0.0,0.0
46,78547,142724.0,165961.56,0.0,0,18237.56,5000.0
47,78601,674730.0,749700.0,0.0,0,74970.0,0.0
48,78622,334336.0,371484.44,0.0,0,37148.44,0.0
49,78755,204304.0,232560.0,0.0,0,23256.0,5000.0
50,78792,188898.0,209886.66,0.0,0,20988.66,0.0
51,78794,188898.0,209886.66,0.0,0,20988.66,0.0
52,78847,134903.0,155447.78,0.0,0,15544.78,5000.0
53,78857,141198.0,159120.0,2990.0,0,15912.0,0.0
54,78884,153001.0,183060.0,0.0,0,18306.0,11753.0
55,78888,449401.0,510499.89,0.0,0,56098.89,5000.0
56,79003,142272.0,159836.44,0.0,0,17564.44,0.0
57,79005,379645.0,421827.78,0.0,0,42182.78,0.0
58,79021,199464.0,269460.0,6950.0,0,26946.0,50000.0
59,79032,176191.0,212220.0,0.0,0,21222.0,14807.0
60,79040,734755.0,739755.0,0.0,0,0.0,5000.0
61,79074,545292.0,605880.0,0.0,0,60588.0,0.0
62,79101,104058.0,121175.56,0.0,0,12117.56,5000.0
63,79274,279072.0,279072.0,0.0,0,0.0,0.0
64,79306,329654.0,370352.0,0.0,0,40698.0,0.0
65,79640,132192.0,146880.0,0.0,0,14688.0,0.0
66,79635,88636.0,104040.0,0.0,0,10404.0,0.0
67,79652,88128.0,97920.0,0.0,0,9792.0,0.0
68,79656,190998.0,212220.0,0.0,0,21222.0,0.0
69,79682,117871.0,130967.78,0.0,0,13096.78,0.0
70,79784,143263.0,160949.78,0.0,0,17686.78,0.0
71,79790,158134.0,177656.78,0.0,0,19522.78,0.0
72,79920,315566.0,356184.44,0.0,0,35618.44,5000.0
73,79947,108232.0,120257.78,0.0,0,12025.78,0.0
74,80348,169646.0,188495.56,0.0,0,18849.56,0.0
75,80364,110622.0,129896.33,0.0,0,14274.33,5000.0
76,80461,156345.0,175950.0,2990.0,0,17595.0,5000.0
77,80471,181907.0,214008.23,0.0,0,32101.23,0.0
78,80506,100754.0,117504.44,0.0,0,11750.44,5000.0
79,80532,132678.0,210600.0,0.0,0,21060.0,56862.0
80,80623,209240.0,199440.0,9800.0,0,0.0,0.0
81,80648,280296.0,280296.0,0.0,0,0.0,0.0
82,80679,140752.0,154224.44,6950.0,0,15422.44,5000.0
83,80724,321523.2,321523.2,0.0,0,0.0,0.0
84,80856,238320.0,238320.0,0.0,0,0.0,0.0
85,80867,337090.0,374544.44,0.0,0,37454.44,0.0
86,80974,129879.0,145913.44,0.0,0,16034.44,0.0
87,81000,463192.0,531414.12,11490.0,0,79712.12,0.0
88,81011,174240.0,174240.0,0.0,0,0.0,0.0
89,81085,393822.0,393822.0,0.0,0,0.0,0.0
90,81100,470.93,529.07,0.0,0,58.14,0.0
91,81117,101877.0,118752.22,0.0,0,11875.22,5000.0
92,81240,222551.0,268858.89,0.0,0,29544.89,16763.0
93,81270,296.82,329.8,0.0,0,32.98,0.0
94,81337,92123.0,115153.76,0.0,0,23030.76,0.0
95,81343,341292.0,422770.0,0.0,0,42277.0,39201.0
96,81361,305651.0,345167.78,0.0,0,34516.78,5000.0
97,81377,815680.0,911866.67,0.0,0,91186.67,5000.0
98,81553,348.5,348.5,0.0,0,0.0,0.0
99,81563,208093.0,223992.22,11500.0,0,22399.22,5000.0
100,81572,105203.0,116892.22,0.0,0,11689.22,0.0
101,81795,156219.0,173576.66999999998,0.0,0,17357.67,0.0
102,81859,154224.0,171360.0,0.0,0,17136.0,0.0
