,id,search_log_room_id,age,baby_bed
100,1498,4024,13,0
101,1499,4024,15,0
102,1500,4025,14,0
103,1501,4025,15,0
104,1502,4026,12,0
105,1503,4026,15,0
106,1504,4027,13,0
107,1505,4027,15,0
108,1506,4028,14,0
109,1507,4028,15,0
110,1508,4029,12,0
111,1509,4029,15,0
112,1510,4030,6,0
113,1511,4030,6,0
114,1512,4030,10,0
115,1513,4031,6,0
116,1514,4031,6,0
117,1515,4031,10,0
118,1516,4032,6,0
119,1517,4032,6,0
120,1518,4033,10,0
121,1519,4034,4,0
122,1520,4034,7,0
123,1521,4034,9,0
124,1522,4035,4,0
125,1523,4035,7,0
126,1524,4035,9,0
127,1525,4036,4,0
128,1526,4036,7,0
129,1527,4036,9,0
130,1528,4041,11,0
131,1529,4041,17,0
132,1530,4042,10,0
133,1531,4043,11,0
134,1532,4044,17,0
135,1533,4045,10,0
136,1534,4047,7,0
137,1535,4050,17,0
138,1536,4050,13,0
139,1540,4060,0,0
140,1541,4062,0,0
141,1542,4063,12,0
142,1543,4063,9,0
143,1544,4064,0,0
144,1545,4065,12,0
145,1546,4065,9,0
146,1547,4066,12,0
147,1548,4066,9,0
148,1549,4067,12,0
149,1550,4067,9,0
150,1551,4068,12,0
151,1552,4068,9,0
152,1553,4069,12,0
153,1554,4069,9,0
154,1555,4072,13,0
155,1556,4072,14,0
156,1557,4073,13,0
157,1558,4074,14,0
158,1559,4077,14,0
159,1560,4077,12,0
160,1561,4077,7,0
161,1562,4078,1,1
162,1563,4080,6,0
163,1564,4085,5,0
164,1565,4085,9,0
165,1566,4086,4,0
166,1567,4087,15,0
167,1568,4087,13,0
168,1569,4088,5,0
169,1570,4088,9,0
170,1571,4100,4,0
171,1572,4100,0,0
172,1573,4101,4,0
173,1574,4101,0,0
174,1575,4102,4,0
175,1576,4102,0,0
176,1577,4103,2,0
177,1578,4105,4,0
178,1579,4106,0,0
179,1580,4107,4,0
180,1581,4109,4,0
181,1582,4110,5,0
182,1583,4110,2,0
183,1584,4113,9,0
184,1585,4114,16,0
185,1586,4114,7,0
186,1587,4115,16,0
187,1588,4115,7,0
188,1589,4117,16,0
189,1590,4117,7,0
190,1591,4118,9,0
191,1592,4119,1,1
192,1593,4120,13,0
193,1594,4126,16,0
194,1595,4132,7,0
195,1596,4132,4,0
196,1597,4132,4,0
197,1602,4139,8,0
198,1603,4142,4,0
199,1604,4142,7,0
200,1605,4142,9,0
201,1606,4143,4,0
202,1607,4143,7,0
203,1608,4143,9,0
204,1609,4144,4,0
205,1610,4144,7,0
206,1611,4144,9,0
207,1612,4145,4,0
208,1613,4145,7,0
209,1614,4145,9,0
210,1615,4146,4,0
211,1616,4146,7,0
212,1617,4146,9,0
213,1618,4147,4,0
214,1619,4147,7,0
215,1620,4147,9,0
216,1621,4148,4,0
217,1622,4148,7,0
218,1623,4148,9,0
219,1624,4153,4,0
220,1625,4153,7,0
221,1626,4153,9,0
222,1627,4154,4,0
223,1628,4154,7,0
